,Subject,Trial_on_off,Time,GhostLocation,UserLocation,Direction,Biscuit1,Biscuit2,Biscuit3,Biscuit4,Biscuit5,Attack,Chase,Eaten,Score,Lives,TrialType,Trial
0,BJH016,0,76600,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
1,BJH016,0,76700,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
2,BJH016,0,76800,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0
3,BJH016,1,76900,148,77,4,0,0,0,0,0,0,0,0,0,3,5,0
4,BJH016,1,77000,146,77,4,0,0,0,0,0,0,0,0,0,3,5,1
5,BJH016,1,77100,144,77,4,0,0,0,0,0,0,0,0,0,3,5,1
6,BJH016,1,77200,142,77,4,0,0,0,0,0,0,0,0,0,3,5,1
7,BJH016,1,77300,140,77,4,0,0,0,0,0,0,0,0,0,3,5,1
8,BJH016,1,77400,138,77,4,0,0,0,0,0,0,0,0,0,3,5,1
9,BJH016,1,77500,136,77,4,0,0,0,0,0,0,0,0,0,3,5,1
10,BJH016,1,77600,134,77,4,0,0,0,0,0,0,0,0,0,3,5,1
11,BJH016,1,77700,132,77,4,0,0,0,0,0,0,0,0,0,3,5,1
12,BJH016,1,77800,130,77,4,0,0,0,0,0,0,0,0,0,3,5,1
13,BJH016,1,77900,132,77,4,0,0,0,0,0,0,0,0,0,3,5,1
14,BJH016,1,78000,134,77,4,0,0,0,0,0,0,0,0,0,3,5,1
15,BJH016,1,78100,136,77,4,0,0,0,0,0,0,0,0,0,3,5,1
16,BJH016,1,78200,138,77,4,0,0,0,0,0,0,0,0,0,3,5,1
17,BJH016,1,78300,140,77,4,0,0,0,0,0,0,0,0,0,3,5,1
18,BJH016,1,78400,142,77,4,0,0,0,0,0,0,0,0,0,3,5,1
19,BJH016,1,78500,144,77,4,0,0,0,0,0,0,0,0,0,3,5,1
20,BJH016,1,78600,146,77,4,0,0,0,0,0,0,0,0,0,3,5,1
21,BJH016,1,78700,148,77,4,0,0,0,0,0,0,0,0,0,3,5,1
22,BJH016,1,78800,150,77,4,0,0,0,0,0,0,0,0,0,3,5,1
23,BJH016,1,78900,148,77,4,0,0,0,0,0,0,0,0,0,3,5,1
24,BJH016,1,79000,146,77,4,0,0,0,0,0,0,0,0,0,3,5,1
25,BJH016,1,79100,144,77,4,0,0,0,0,0,0,0,0,0,3,5,1
26,BJH016,1,79200,142,77,4,0,0,0,0,0,0,0,0,0,3,5,1
27,BJH016,1,79300,140,77,4,0,0,0,0,0,0,0,0,0,3,5,1
28,BJH016,1,79400,138,77,4,0,0,0,0,0,0,0,0,0,3,5,1
29,BJH016,1,79500,136,77,4,0,0,0,0,0,0,0,0,0,3,5,1
30,BJH016,1,79600,134,77,4,0,0,0,0,0,0,0,0,0,3,5,1
31,BJH016,1,79700,132,77,4,0,0,0,0,0,0,0,0,0,3,5,1
32,BJH016,1,79800,130,77,4,0,0,0,0,0,0,0,0,0,3,5,1
33,BJH016,1,79900,132,77,4,0,0,0,0,0,0,0,0,0,3,5,1
34,BJH016,1,80000,134,77,4,0,0,0,0,0,0,0,0,0,3,5,1
35,BJH016,1,80100,136,77,4,0,0,0,0,0,0,0,0,0,3,5,1
36,BJH016,1,80200,138,77,4,0,0,0,0,0,0,0,0,0,3,5,1
37,BJH016,1,80300,140,77,4,0,0,0,0,0,0,0,0,0,3,5,1
38,BJH016,1,80400,142,77,4,0,0,0,0,0,0,0,0,0,3,5,1
39,BJH016,1,80500,144,77,4,0,0,0,0,0,0,0,0,0,3,5,1
40,BJH016,1,80600,146,77,4,0,0,0,0,0,0,0,0,0,3,5,1
41,BJH016,1,80700,148,77,4,0,0,0,0,0,0,0,0,0,3,5,1
42,BJH016,1,80800,150,77,4,0,0,0,0,0,0,0,0,0,3,5,1
43,BJH016,1,80900,148,77,4,0,0,0,0,0,0,0,0,0,3,5,1
44,BJH016,1,81000,146,77,4,0,0,0,0,0,0,0,0,0,3,5,1
45,BJH016,1,81100,144,77,4,0,0,0,0,0,0,0,0,0,3,5,1
46,BJH016,1,81200,142,77,4,0,0,0,0,0,0,0,0,0,3,5,1
47,BJH016,1,81300,140,77,4,0,0,0,0,0,0,0,0,0,3,5,1
48,BJH016,1,81400,138,77,4,0,0,0,0,0,0,0,0,0,3,5,1
49,BJH016,1,81500,136,77,4,0,0,0,0,0,0,0,0,0,3,5,1
50,BJH016,1,81600,134,77,4,0,0,0,0,0,0,0,0,0,3,5,1
51,BJH016,1,81700,132,77,4,0,0,0,0,0,0,0,0,0,3,5,1
52,BJH016,1,81800,130,77,4,0,0,0,0,0,0,0,0,0,3,5,1
53,BJH016,1,81900,132,77,4,0,0,0,0,0,0,0,0,0,3,5,1
54,BJH016,1,82000,134,77,4,0,0,0,0,0,0,0,0,0,3,5,1
55,BJH016,1,82100,136,77,4,0,0,0,0,0,0,0,0,0,3,5,1
56,BJH016,1,82200,138,77,4,0,0,0,0,0,0,0,0,0,3,5,1
57,BJH016,1,82300,140,77,4,0,0,0,0,0,0,0,0,0,3,5,1
58,BJH016,1,82400,142,75,2,0,0,0,0,0,0,0,0,0,3,5,1
59,BJH016,1,82500,144,73,2,0,0,0,0,0,0,0,0,0,3,5,1
60,BJH016,1,82600,146,71,2,0,0,0,0,0,0,0,0,0,3,5,1
61,BJH016,1,82700,148,69,2,0,0,0,0,0,0,0,0,0,3,5,1
62,BJH016,1,82800,150,67,2,0,0,0,0,0,0,0,0,0,3,5,1
63,BJH016,1,82900,148,65,2,0,0,0,0,0,0,0,0,0,3,5,1
64,BJH016,1,83000,146,63,2,0,0,0,0,0,0,0,0,0,3,5,1
65,BJH016,1,83100,144,61,2,0,0,0,0,0,0,0,0,0,3,5,1
66,BJH016,1,83200,142,59,2,0,0,0,0,0,0,0,0,0,3,5,1
67,BJH016,1,83300,140,59,2,0,0,0,0,0,0,0,0,0,3,5,1
68,BJH016,1,83400,138,55,2,0,0,0,0,0,0,0,0,0,3,5,1
69,BJH016,1,83500,136,53,2,0,0,0,0,0,0,0,0,0,3,5,1
70,BJH016,1,83600,134,51,2,0,0,0,0,0,0,0,0,0,3,5,1
71,BJH016,1,83700,132,49,2,0,0,0,0,0,0,0,0,0,3,5,1
72,BJH016,1,83800,130,47,2,0,0,0,0,0,0,0,0,0,3,5,1
73,BJH016,1,83900,132,45,2,0,0,0,0,0,0,0,0,0,3,5,1
74,BJH016,1,84000,134,43,2,0,0,0,0,0,0,0,0,0,3,5,1
75,BJH016,1,84100,136,41,2,0,0,0,0,0,0,0,0,0,3,5,1
76,BJH016,1,84200,138,39,2,0,0,0,0,0,0,0,0,0,3,5,1
77,BJH016,1,84300,140,37,2,0,0,0,0,0,0,0,0,0,3,5,1
78,BJH016,1,84400,142,35,2,0,0,0,0,0,0,0,0,0,3,5,1
79,BJH016,1,84500,144,33,2,0,0,0,0,0,0,0,0,0,3,5,1
80,BJH016,1,84600,146,31,2,0,0,0,0,0,0,0,0,0,3,5,1
81,BJH016,1,84700,148,29,2,0,0,0,0,0,0,0,0,0,3,5,1
82,BJH016,1,84800,150,27,2,0,0,0,0,0,0,0,0,0,3,5,1
83,BJH016,1,84900,148,25,2,0,0,0,0,0,0,0,0,0,3,5,1
84,BJH016,1,85000,146,23,2,0,0,0,0,0,0,0,0,0,3,5,1
85,BJH016,1,85100,144,21,2,0,0,0,0,0,0,0,0,0,3,5,1
86,BJH016,1,85200,142,19,2,0,0,0,0,0,0,0,0,0,3,5,1
87,BJH016,1,85300,140,17,2,0,0,0,0,0,0,0,0,0,3,5,1
88,BJH016,1,85400,138,15,2,0,0,0,0,0,0,0,0,0,3,5,1
89,BJH016,1,85500,136,13,2,0,0,0,0,0,0,0,0,0,3,5,1
90,BJH016,1,85600,134,11,2,0,0,0,0,0,0,0,0,0,3,5,1
91,BJH016,1,85700,132,9,2,0,0,0,0,0,0,0,0,0,3,5,1
92,BJH016,1,85800,108,37,2,0,0,0,0,0,0,0,0,0,3,8,1
93,BJH016,0,85900,108,37,4,0,0,0,0,0,0,0,0,0,3,8,1
94,BJH016,0,87800,108,37,4,0,0,0,0,0,0,0,0,0,3,8,2
95,BJH016,0,87900,108,37,4,0,0,0,0,0,0,0,0,0,3,8,2
96,BJH016,1,88000,110,37,4,0,0,0,0,0,0,0,0,0,3,8,2
97,BJH016,1,88100,112,37,4,0,0,0,0,0,0,0,0,0,3,8,2
98,BJH016,1,88200,114,37,4,0,0,0,0,0,0,0,0,0,3,8,2
99,BJH016,1,88300,116,37,4,0,0,0,0,0,0,0,0,0,3,8,2
100,BJH016,1,88400,118,37,4,0,0,0,0,0,0,0,0,0,3,8,2
101,BJH016,1,88500,120,37,4,0,0,0,0,0,0,0,0,0,3,8,2
102,BJH016,1,88600,122,37,4,0,0,0,0,0,0,0,0,0,3,8,2
103,BJH016,1,88700,124,37,4,0,0,0,0,0,0,0,0,0,3,8,2
104,BJH016,1,88800,126,37,4,0,0,0,0,0,0,0,0,0,3,8,2
105,BJH016,1,88900,128,37,4,0,0,0,0,0,0,0,0,0,3,8,2
106,BJH016,1,89000,126,37,4,0,0,0,0,0,0,0,0,0,3,8,2
107,BJH016,1,89100,124,37,4,0,0,0,0,0,0,0,0,0,3,8,2
108,BJH016,1,89200,122,37,4,0,0,0,0,0,0,0,0,0,3,8,2
109,BJH016,1,89300,120,37,4,0,0,0,0,0,0,0,0,0,3,8,2
110,BJH016,1,89400,118,37,4,0,0,0,0,0,0,0,0,0,3,8,2
111,BJH016,1,89500,116,37,4,0,0,0,0,0,0,0,0,0,3,8,2
112,BJH016,1,89600,114,37,4,0,0,0,0,0,0,0,0,0,3,8,2
113,BJH016,1,89700,112,37,4,0,0,0,0,0,0,0,0,0,3,8,2
114,BJH016,1,89800,110,37,4,0,0,0,0,0,0,0,0,0,3,8,2
115,BJH016,1,89900,108,37,4,0,0,0,0,0,0,0,0,0,3,8,2
116,BJH016,1,90000,110,37,4,0,0,0,0,0,0,0,0,0,3,8,2
117,BJH016,1,90100,112,37,4,0,0,0,0,0,0,0,0,0,3,8,2
118,BJH016,1,90200,114,37,4,0,0,0,0,0,0,0,0,0,3,8,2
119,BJH016,1,90300,116,37,4,0,0,0,0,0,0,0,0,0,3,8,2
120,BJH016,1,90400,118,37,4,0,0,0,0,0,0,0,0,0,3,8,2
121,BJH016,1,90500,120,37,4,0,0,0,0,0,0,0,0,0,3,8,2
122,BJH016,1,90600,120,37,4,0,0,0,0,0,0,0,0,0,3,8,2
123,BJH016,1,90700,124,37,4,0,0,0,0,0,0,0,0,0,3,8,2
124,BJH016,1,90800,126,37,4,0,0,0,0,0,0,0,0,0,3,8,2
125,BJH016,1,90900,128,37,4,0,0,0,0,0,0,0,0,0,3,8,2
126,BJH016,1,91000,126,37,4,0,0,0,0,0,0,0,0,0,3,8,2
127,BJH016,1,91100,126,37,4,0,0,0,0,0,0,0,0,0,3,8,2
128,BJH016,1,91200,122,37,4,0,0,0,0,0,0,0,0,0,3,8,2
129,BJH016,1,91300,120,37,4,0,0,0,0,0,0,0,0,0,3,8,2
130,BJH016,1,91400,120,37,4,0,0,0,0,0,0,0,0,0,3,8,2
131,BJH016,1,91500,116,37,4,0,0,0,0,0,0,0,0,0,3,8,2
